Canadian citizens,Not Canadian citizens,Non-immigrants,Immigrants,Non-permanent residents,Under 5 years,5 to 14 years,15 to 24 years,25 to 44 years,45 years and over,Total visible minority population,Not a visible minority,"No certificate, diploma or degree",High school certificate or equivalent,"Postsecondary certificate, diploma or degree","No postsecondary certificate, diploma or degree",Education,"Visual and performing arts, and communications technologies",Humanities,Social and behavioural sciences and law,"Business, management and public administration",Physical and life sciences and technologies,"Mathematics, computer and information sciences","Architecture, engineering, and related technologies","Agriculture, natural resources and conservation","Health, parks, recreation and fitness","Personal, protective and transportation services",Other,"With postsecondary certificate, diploma or degree",English,French,Non-official language,English and French,English and non-official language,French and non-official language,"English, French and non-official language",In the labour force,Not in the labour force,Participation rate,Employment rate,Unemployment rate,Worked at home,Worked outside Canada,No fixed workplace address,Worked at usual place,Walked or bicycled,Riding Vote
0.977096273,0.016304348,0.919642857,0.071428571,0.002329193,0.045419255,0.119177019,0.123059006,0.216226708,0.496506211,0.008152174,0.984860248,0.180900621,0.239518634,0.408773292,0.420419255,0.049301242,0.015139752,0.013975155,0.028338509,0.066770186,0.015916149,0.006599379,0.109860248,0.018245342,0.054347826,0.030279503,0,0.408773292,0.792313665,0.164984472,0.011257764,0.013198758,0.002717391,0,0.000776398,0.53765528,0.291925466,0.005031056,0.004798137,0.000357143,0.065993789,0.001552795,0.044254658,0.401009317,0.022515528,0
0.968051118,0.020367412,0.929313099,0.059105431,0,0.045926518,0.138178914,0.120207668,0.247603834,0.447683706,0.015974441,0.97284345,0.196884984,0.235623003,0.370607029,0.432507987,0.036341853,0.00798722,0.010383387,0.031549521,0.069488818,0.005191693,0.007587859,0.095846645,0.010383387,0.064696486,0.029952077,0,0.370607029,0.919728435,0.038738019,0.018769968,0.009984026,0.002396166,0,0,0.531948882,0.271565495,0.00528754,0.004952077,0.000511182,0.035543131,0.001996805,0.050319489,0.409744409,0.012779553,0
0.974845752,0.01518747,0.911722829,0.077361177,0,0.045087803,0.127195064,0.115329853,0.237304224,0.475083056,0.010915994,0.97864262,0.252491694,0.245847176,0.318936877,0.49833887,0.026578073,0.007119127,0.015662079,0.026103465,0.046986236,0.008068344,0.009492169,0.084005695,0.019933555,0.046037019,0.029425724,0,0.318936877,0.962505933,0.011390603,0.013763645,0.003322259,0,0,0,0.505457997,0.31181775,0.00586616,0.005590888,0.000455624,0.062648315,0.001423825,0.053156146,0.364499288,0.028951115,0
0.969355566,0.019378098,0.922036954,0.064894096,0.001802614,0.054979721,0.13339342,0.128886886,0.264533574,0.417755746,0.009463722,0.979269941,0.205948626,0.228030644,0.36728256,0.43397927,0.028841821,0.01171699,0.009463722,0.032897702,0.054078414,0.007210455,0.018026138,0.087877422,0.016674178,0.063542136,0.036953583,0,0.36728256,0.93330329,0.034249662,0.012618297,0.011266336,0.002253267,0,0,0.557458315,0.244254169,0.006264083,0.006002704,0.000369536,0.069851284,0.001802614,0.067598017,0.39477242,0.038756196,0
0.983158517,0.0096026,0.936622839,0.056138277,0,0.056876939,0.146254986,0.138129709,0.267395479,0.388535973,0.013295908,0.979465209,0.228246417,0.220859802,0.339784311,0.44910622,0.037671739,0.002215985,0.014034569,0.028069139,0.065002216,0.002215985,0.006647954,0.087900724,0.019943862,0.051706308,0.025114493,0,0.339784311,0.791106515,0.170630817,0.014773231,0.011818585,0,0,0,0.572462698,0.215689171,0.010725366,0.010075343,0.00091594,0.079036785,0.001477323,0.077559462,0.378933373,0.018466539,0
0.966149506,0.010343206,0.921955806,0.052656323,0.001880583,0.043253409,0.123178185,0.120357311,0.235543018,0.480018806,0.009402915,0.966619652,0.248236953,0.228020686,0.334273625,0.47625764,0.045133992,0.010813352,0.018335684,0.023037142,0.046544429,0.008462623,0.004701457,0.074283028,0.017395393,0.057827927,0.027268453,0,0.334273625,0.614010343,0.326751293,0.017865538,0.016455101,0,0,0,0.519040903,0.291960508,0.006017866,0.005716972,0.000470146,0.072872591,0.001880583,0.052186178,0.36577339,0.029619182,0
0.980335662,0.008283512,0.929193978,0.058704891,0.001080458,0.059785349,0.158107037,0.140099402,0.296765829,0.346466902,0.020168551,0.969170928,0.136497875,0.21969315,0.414895916,0.356551178,0.03601527,0.011164734,0.020168551,0.043218325,0.084635886,0.012605345,0.02268962,0.086796802,0.012245192,0.051861989,0.032413743,0.000720305,0.414895916,0.587048909,0.383202478,0.004681985,0.012965497,0.002521069,0,0,0.569041273,0.202765973,0.005315854,0.005142981,0.000230498,0.050061226,0.002521069,0.057984585,0.440106605,0.020528704,0
0.949760766,0.0215311,0.892344498,0.075358852,0.003588517,0.052631579,0.112440191,0.108851675,0.238038278,0.488038278,0.0215311,0.949760766,0.25,0.224880383,0.332535885,0.473684211,0.011961722,0.008373206,0.027511962,0.028708134,0.063397129,0.011961722,0.016746411,0.072966507,0.005980861,0.056220096,0.027511962,0,0.332535885,0.947368421,0.008373206,0.014354067,0,0,0,0,0.444976077,0.362440191,0.013181818,0.012511962,0.001148325,0.028708134,0,0.028708134,0.366028708,0.034688995,0
0.980922099,0.015898251,0.921038686,0.073661897,0.002119767,0.043985162,0.120826709,0.1054584,0.243243243,0.484896661,0.013248543,0.983571807,0.171701113,0.255431902,0.404875464,0.426603074,0.027556969,0.005299417,0.015898251,0.037095919,0.080551139,0.011128776,0.011658718,0.09326974,0.019607843,0.073131955,0.029676736,0,0.404875464,0.97509274,0.005299417,0.012718601,0.001059883,0.00317965,0,0,0.551139375,0.280339163,0.007027027,0.006677266,0.000529942,0.039745628,0.004239534,0.072072072,0.407525172,0.020137785,0
0.969189098,0.028779414,0.906551549,0.088877603,0.001692907,0.033858134,0.09818859,0.123582191,0.187912646,0.557812765,0.011003894,0.986118165,0.2014559,0.253936008,0.41052988,0.455391908,0.042322668,0.0126968,0.028779414,0.045708481,0.064330455,0.00761808,0.01523616,0.067716269,0.008464534,0.088031149,0.027932961,0,0.41052988,0.976807178,0.004232267,0.01523616,0.001692907,0.001692907,0,0,0.447773828,0.41814796,0.008752328,0.008125952,0.001185035,0.022007787,0,0.052480108,0.340274251,0.080413069,0
