Immigrants,Under 5 years,5 to 14 years,15 to 24 years,25 to 44 years,45 years and over,Americas,Europe,Africa,Asia,Oceania and other,First generation,Second generation,Third generation or more,Total visible minority population,Not a visible minority,North American Aboriginal origins,Other North American origins,European origins,Caribbean origins,"Latin, Central and South American origins",African origins,Buddhist,Christian,Hindu,Jewish,Muslim,Sikh,Traditional (Aboriginal) Spirituality,Other religions,No religious affiliation,Aboriginal identity,Non-Aboriginal identity,Not a Registered or Treaty Indian,Aboriginal ancestry,Aboriginal languages,Non-Aboriginal languages,Movers,High school diploma or equivalent,"Postsecondary certificate, diploma or degree",Education,Humanities,Physical and life sciences and technologies,"Mathematics, computer and information sciences","Architecture, engineering, and related technologies","Agriculture, natural resources and conservation","Personal, protective and transportation services",Other fields of study,"With postsecondary certificate, diploma or degree",English,Non-official language,Not in the labour force,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,All classes of worker,Occupation - not applicable,Industry - not applicable,All industries,Did not work in 2010,Worked in 2010,Average weeks worked in 2010,Worked outside Canada,No fixed workplace address,Worked at usual place,"Car, truck or van - as a driver",Public transit,Bicycle,Other methods,Median commuting duration,Between 5 and 6:59 a.m.,Anytime after 9:00 a.m.,Major repairs needed,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2011,6 rooms,7 rooms,8 or more rooms,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Band housing,Part of a condominium development,1 household maintainer,2 household maintainers,3 or more household maintainers,Under 25 years,25 to 34 years,75 years and over,One person or fewer per room,More than one person per room,Suitable,Not suitable,Spending less than 30% of household total income on shelter costs,Spending 30% or more of household total income on shelter costs,"Number of owner households in non-farm, non-reserve private dwellings",% of owner households with a mortgage,% of owner households spending 30% or more of household total income on shelter costs,Median monthly shelter costs for owned dwellings ($),Average monthly shelter costs for owned dwellings ($),Median value of dwellings ($),Average value of dwellings ($),"Number of tenant households in non-farm, non-reserve private dwellings",% of tenant households in subsidized housing,% of tenant households spending 30% or more of household total income on shelter costs,Median monthly shelter costs for rented dwellings ($),Average monthly shelter costs for rented dwellings ($),Median income ($),Average income ($),After-tax income in 2010 of population 15 years and over,Without after-tax income,With after-tax income,Median after-tax income ($),Average after-tax income ($),Composition of total income in 2010 of population 15 years and over (%),Income taxes paid as a % of total income,After-tax income as a % of total income,Net capital gains or losses as a % of total income,"Population aged 15 years and over who worked full year, full time and with employment income in 2010",Average employment income in 2010 ($),Family income in 2010 of economic families,Median family income ($),Average family income ($),Median after-tax family income ($),Average after-tax family income ($),Couple-with-children economic families,Lone-parent economic families,Income in 2010 of population aged 15 years and over not in economic families,Median total income ($),In bottom half of the Canadian distribution,Household total income in 2010 of private households,"$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$60,000 to $79,999","$100,000 to $124,999","$125,000 to $149,999",After-tax income of households in 2010 of private households,"$100,000 and over",Household income in 2010 of private households,Median household total income ($),Average household total income ($),Median after-tax household income ($),Average after-tax household income ($),Population in private households for income status,Less than 18 years,65 years and over,Prevalence of low income in 2010 based on after-tax low-income measure (%),18 to 64 years (%),
0.341649881,0.034792163,0.067890496,0.087300861,0.126716719,0.024949643,0.008652261,0.002014283,0.001968504,0.014832448,0,0.348699872,0.307086614,0.344213514,0.457745834,0.542254166,0.017121406,0.213697125,0.537447354,0.150476103,0.045504486,0.043078191,0.007141549,0.666361472,0.059421351,0.003753891,0.069126534,0.005401941,0,0.002288958,0.186458524,0.009888299,0.990111701,0.99725325,0.017121406,0,0.253616554,0.09989013,0.231093206,0.445385461,0.023347372,0.022019777,0.017258744,0.022294452,0.088124886,0.004806812,0.023026918,0,0.445385461,0.586156382,0.002334737,0.214978942,0.00066746,0.000608863,7.97E-05,0.019456144,0.557956418,0.019456144,0.019456144,0.557956418,0.038134041,0.539232741,0.000413844,0.001007142,0.055438564,0.445202344,0.370307636,0.079747299,0.00164805,0.005951291,0.00032137,0.150384545,0.099523897,0.011399011,0.024079839,0.055987914,0.083913203,0.048754807,0.053195385,0.054889214,0.050906427,0.06111518,0.131981322,0.012451932,0.034425929,0.14356345,0.130379051,0,0.025727889,0.160227065,0.151529024,0.009110053,0.0021974,0.039507416,0.018403223,0.314502838,0.006317524,0.29912104,0.021653543,0.230864311,0.089635598,0.278886651,0.000694928,0.000235305,0.015107123,0.014786669,3.054687786,3.276570225,0.041842153,0.000138253,0.000395532,0.009613624,0.009714338,0.329436001,0.398654093,0.792391503,0.053607398,0.738784105,0.298425197,0.333052554,0.000915583,0.000151071,0.000764512,7.32E-06,0.330891778,0.569492767,0.269730819,0.884206189,0.992620399,0.759055118,0.829088079,0.159082586,0.041613258,0.065738876,0.352792529,0.371131661,0.320774583,0.002472075,0.005768174,0.006454862,0.013230178,0.017624977,0.018815235,0.046145395,0.042528841,0.032457425,0.320774583,0.099798572,0.320774583,0.808112067,0.918375755,0.692748581,0.766984069,1,0.257324666,0.08405054,8.51E-05,8.06E-05,1
0.050377036,0.005196122,0.011469489,0.011976427,0.018693365,0.003105,0.000697041,0.000380204,0.000506939,0.000506939,0,0.05455928,0.087637032,0.857803688,0.010709081,0.989290919,0.189785185,0.411190672,0.677333502,0.002027755,0.00285153,0.002534694,0.001774286,0.813002978,0,0.000443571,0,0,0.015778468,0.001457449,0.167416514,0.174577023,0.82535961,0.87275838,0.189785185,0.036562955,0.045054179,0.097649072,0.217983651,0.391990368,0.039667955,0.01286357,0.005703061,0.005829795,0.107724479,0.016031937,0.035358976,0,0.392053736,0.399404347,0.00380204,0.388758634,0.000688169,0.000610861,0.00014321,0.013117039,0.449527913,0.013180407,0.013117039,0.449527913,0.026804385,0.435903935,0.000543692,0.000570306,0.047081934,0.334959762,0.294341296,0.006336734,0.007097142,0.006019897,0.000131804,0.094290603,0.074393258,0.058424688,0.153032127,0.161079779,0.067866422,0.037703568,0.013750713,0.01191306,0.088143971,0.06457132,0.120144478,0.044673975,0.116849376,0.189214879,0.094734174,0.011976427,0.008554591,0.288574869,0.153158862,0.003611938,0.011089285,0.040555098,0.057220708,0.44173373,0.003611938,0.431404854,0.013940815,0.331601293,0.071034789,0.304289969,0.000570306,0.000149547,0.007933591,0.009961346,1.52227362,1.880793359,0.098979786,0.000283886,0.00045371,0.007616754,0.007844877,0.342703251,0.437107915,0.851466954,0.039097649,0.812369305,0.322996008,0.382219124,0.001267347,0.000159686,0.001107661,5.07E-06,0.220581712,0.665864014,0.311006907,0.81158355,0.954527596,0.73290666,0.830327609,0.107344275,0.038020404,0.147519169,0.308434193,0.561878208,0.445345669,0.008617958,0.018883467,0.028768773,0.051517648,0.051644382,0.047525505,0.060072239,0.035929282,0.020150814,0.445345669,0.051010709,0.445345669,0.646904505,0.797617388,0.596248653,0.697243521,0.900956847,0.157087637,0.194094164,0.000169824,0.000177429,2
0.459133009,0.045354722,0.087224291,0.083404946,0.198796906,0.04425666,0.004105796,0.007686432,0.002769025,0.038097966,0,0.469492982,0.282631529,0.247923231,0.429294376,0.570657882,0.00763869,0.134011267,0.539673446,0.01737802,0.018237372,0.025494128,0.021818008,0.551274706,0.023488972,0.048076005,0.099016519,0.002434832,0,0.008116108,0.245822591,0.001957414,0.998042586,0.999379356,0.00763869,0,0.550892772,0.113959706,0.177504058,0.506636112,0.031509596,0.031939272,0.026305739,0.040485057,0.102024253,0.006874821,0.017282536,0,0.50658837,0.564117254,0.0163277,0.223240714,0.000683663,0.000637831,6.40E-05,0.011505777,0.551322448,0.011458035,0.011458035,0.55137019,0.027690251,0.535090232,0.000425857,0.003198701,0.057337917,0.419984723,0.374773226,0.056526306,0.001384513,0.005394825,0.00029409,0.093573952,0.077007543,0.008975461,0.017998663,0.021770266,0.038432159,0.085983004,0.084980426,0.051943092,0.041583118,0.052706961,0.148238327,0.010550941,0.018667049,0.096772653,0.175069226,0,0.016805118,0.140169961,0.153633152,0.007352239,0.001718705,0.02449155,0.012221904,0.295665043,0.005442567,0.287692161,0.013415449,0.217177504,0.083309462,0.271889621,0.000679843,0.000252077,0.017425761,0.017139311,5.266084217,5.522266781,0.029170247,0.000132722,0.000384799,0.01090423,0.011782679,0.330965339,0.486450874,0.786068939,0.055285019,0.730783921,0.299799484,0.391645183,0.000954836,0.000186193,0.000768643,2.01E-05,0.321684331,0.702119736,0.271650912,1.029055667,1.23883319,0.878258379,0.996763105,0.183328559,0.026926382,0.041487635,0.346968395,0.343979757,0.30110761,0.003580636,0.004917407,0.006110952,0.012221904,0.014370285,0.015898023,0.034374105,0.039530221,0.03160508,0.30110761,0.122744199,0.30110761,0.974477227,1.180626373,0.831414112,0.950520386,1,0.26448964,0.081590757,9.26E-05,9.55E-05,1
0.132086732,0.019295803,0.030634573,0.032773026,0.043614482,0.005669385,0.00308335,0.003381739,0.000248657,0.003729859,0,0.137656654,0.212502487,0.649791128,0.070767854,0.929232146,0.040282475,0.33882037,0.796200517,0.019693654,0.013974537,0.009200318,0.003282276,0.680773821,0.001591406,0.007061866,0.008703004,0.000745972,0.000596777,0.002635767,0.294658842,0.019992043,0.980007957,0.993634374,0.040282475,0.000149194,0.122886413,0.107569127,0.244081957,0.393972548,0.027402029,0.013974537,0.010592799,0.011289039,0.092351303,0.005768848,0.031927591,0,0.393972548,0.584294808,0.001541675,0.228714939,0.000706187,0.000649493,7.96E-05,0.012134474,0.547145415,0.012134474,0.012184205,0.547145415,0.026606326,0.532673563,0.000449572,0.001541675,0.064054108,0.412771036,0.405410782,0.017654665,0.003033618,0.006116968,0.00025363,0.154465884,0.103192759,0.013974537,0.031231351,0.054555401,0.048836284,0.105679332,0.073204695,0.038889994,0.063158942,0.060324249,0.151531729,0.012532325,0.054257012,0.162373185,0.123135071,0,0.01919634,0.189277899,0.154068033,0.009100855,0.005768848,0.048140044,0.027650686,0.349661826,0.002685498,0.339218222,0.013129103,0.255520191,0.094887607,0.305301373,0.000742988,0.000242689,0.014601154,0.014223195,2.888084345,3.028098269,0.045852397,9.65E-05,0.000443605,0.01144818,0.01117963,0.33168888,0.416988263,0.787994828,0.045703203,0.742341357,0.303312115,0.35088522,0.000994629,0.000158146,0.000836483,8.95E-06,0.319872687,0.58530933,0.286502884,0.851491944,0.957648697,0.734871693,0.804674756,0.148000796,0.041973344,0.088422518,0.330843445,0.425900139,0.352347324,0.002635767,0.006365626,0.007012134,0.018798488,0.027551223,0.02949075,0.054406206,0.047045952,0.029888602,0.352347324,0.079968172,0.352347324,0.769454943,0.878754724,0.669832902,0.739188383,1,0.260891188,0.10423712,9.65E-05,9.55E-05,0
0.105495075,0.017314671,0.021565578,0.027268015,0.033385174,0.005961638,0.002229134,0.002695697,0.000673924,0.006583722,0,0.110679108,0.179160187,0.710108865,0.050803525,0.949196475,0.05318818,0.353654743,0.805339554,0.012130638,0.008242613,0.004924832,0.003421462,0.674287195,0.002799378,0.004043546,0.006428201,0.001088647,0.000259202,0.002747538,0.305028512,0.028564023,0.971435977,0.991912908,0.05313634,0.000155521,0.086054951,0.13903577,0.244790047,0.437117678,0.032659409,0.019491965,0.00933126,0.013115604,0.091083463,0.008968377,0.035303266,0,0.437117678,0.596267496,0.000622084,0.268429238,0.000702955,0.000641783,9.02E-05,0.012908243,0.551892172,0.012908243,0.012856402,0.551892172,0.027941939,0.536858476,0.000466563,0.001762571,0.067081389,0.410316226,0.388854329,0.023950233,0.003525143,0.00461379,0.000210472,0.121721099,0.104561949,0.019803007,0.063348885,0.104406428,0.085277346,0.063815448,0.052825298,0.020580612,0.058061172,0.053240021,0.162415759,0.038154484,0.072213582,0.154069466,0.125712805,0,0.02649041,0.217366511,0.162830482,0.009953344,0.013478486,0.050855365,0.039191291,0.38755832,0.002592017,0.375220321,0.014930016,0.272576464,0.113426646,0.286521514,0.00066563,0.000224987,0.013364438,0.01345775,2.900891654,3.367288751,0.100207361,0.000151374,0.000533955,0.010202177,0.010285122,0.306500778,0.420580612,0.833229653,0.040331778,0.792897875,0.283017107,0.352773458,0.001036807,0.000166926,0.000869881,3.21E-05,0.31093831,0.588377398,0.285225505,0.808947641,0.972742354,0.714971488,0.816070503,0.126853292,0.044634526,0.141161223,0.288564023,0.482011405,0.390150337,0.00632452,0.01099015,0.01404873,0.036547434,0.032555728,0.039813375,0.056505962,0.040383618,0.026749611,0.390150337,0.077967859,0.390150337,0.683193364,0.854764126,0.604136858,0.716920684,1,0.20943494,0.133074132,0.000130638,0.000131674,0
0.074435774,0.010606981,0.015513294,0.01789636,0.027662259,0.002803607,0.00116817,0.000794355,0,0.002523247,0,0.080697164,0.135133872,0.784168964,0.031540582,0.968506145,0.057006682,0.409093033,0.756132891,0.005420307,0.003224148,0.004018504,0.002196159,0.687678146,0.002663427,0.000981263,0.003738143,0.000560721,0,0.006308116,0.295733844,0.036867436,0.963132564,0.984953974,0.056959955,0.000327088,0.056632868,0.119994393,0.255128265,0.401756927,0.027895893,0.020653241,0.009906079,0.01032662,0.091771413,0.00756974,0.03434419,0,0.401756927,0.529648147,0.000887809,0.347460399,0.000551376,0.000506518,7.66E-05,0.011401336,0.489463109,0.011401336,0.011401336,0.489416382,0.025325919,0.475538526,0.000416803,0.001355077,0.044904444,0.387271623,0.354375964,0.009859352,0.004439045,0.005794122,0.000144853,0.116630064,0.086491285,0.031073314,0.160039251,0.137236578,0.054156348,0.03971777,0.021634503,0.01672819,0.072052708,0.057847764,0.156301107,0.045418438,0.112237746,0.166954815,0.104995094,0,0.018363628,0.260688753,0.162609224,0.006214663,0.013877856,0.049997664,0.060744825,0.426522125,0.002990514,0.413485351,0.016074015,0.31834961,0.107471613,0.29811691,0.000531751,0.000169151,0.008728564,0.009457502,1.874286248,2.309798608,0.12775104,0.000159806,0.00039157,0.007373487,0.007392178,0.258324377,0.341432643,0.848278118,0.036400168,0.81187795,0.240138311,0.293247979,0.000934536,0.00013177,0.000802766,7.48E-06,0.267043596,0.489285547,0.300313069,0.628279052,0.764534368,0.566721181,0.653156395,0.112891921,0.042895192,0.152422784,0.246549227,0.546329611,0.42951264,0.006448297,0.015232933,0.02037288,0.047334237,0.048689314,0.047007149,0.069015467,0.039484136,0.019251437,0.42951264,0.051492921,0.42951264,0.517349657,0.645324985,0.468155694,0.55428251,1.000046727,0.188776225,0.188776225,0.000136442,0.000143919,1
0.326369895,0.034471376,0.05375837,0.07031029,0.139064416,0.028671131,0.007120626,0.007497878,0.006177497,0.041120438,0.000565878,0.349287937,0.272988777,0.377770442,0.316797133,0.683250024,0.026926342,0.194426106,0.662878431,0.040365934,0.021597661,0.040696029,0.014099783,0.523389607,0.024992927,0.014194096,0.087569556,0.000990286,0.001320381,0.006696218,0.326652834,0.018768273,0.981231727,0.992973687,0.026926342,0.000471565,0.348957842,0.12633217,0.191455249,0.507780817,0.032773743,0.049985853,0.021644818,0.022918042,0.066160521,0.008063756,0.018108083,0,0.507780817,0.57483731,0.006554749,0.257097048,0.000649816,0.000592285,8.30E-05,0.018626804,0.549938697,0.018579647,0.018579647,0.549938697,0.035555975,0.532915213,0.000426294,0.001414694,0.055456003,0.421107234,0.211968311,0.200462133,0.012920871,0.005988871,0.000289541,0.076912195,0.096906536,0.045883241,0.260162218,0.097566726,0.026737716,0.02173913,0.015373008,0.009289824,0.063331133,0.05389984,0.080826181,0.121333585,0.119211544,0.138687164,0.051542016,0,0.039045553,0.270819579,0.150051872,0.009855701,0.011364708,0.058191078,0.033905498,0.412477601,0.018296708,0.380175422,0.050646044,0.29802886,0.131283599,0.249504857,0.000611148,0.000220692,0.013939451,0.01473168,4.249193624,4.943242479,0.181316609,0.000189569,0.000381967,0.00824295,0.00838442,0.307922286,0.47206451,0.825615392,0.042535132,0.78308026,0.283099123,0.379854758,0.000943129,0.00018391,0.000759219,8.49E-06,0.319673677,0.707893992,0.273648967,0.797604452,1.06214279,0.693105725,0.85076865,0.124351599,0.05295671,0.186126568,0.293237763,0.465009903,0.430821466,0.009855701,0.016363293,0.022587947,0.040035839,0.035414505,0.032773743,0.05149486,0.038856927,0.026124682,0.430821466,0.095444685,0.430821466,0.599236065,0.858096765,0.526360464,0.6904461,1,0.20517778,0.11072338,0.000172593,0.000170706,1
0.462759759,0.040201981,0.08084094,0.11293455,0.183919208,0.044960186,0.01432317,0.00218489,0.005972033,0.056370169,0,0.471936298,0.277529617,0.250534084,0.537434453,0.4626141,0.017867547,0.166488639,0.444406681,0.102204312,0.052048942,0.04782482,0.012818023,0.583122936,0.095552534,0.003447271,0.085404933,0.078364731,0,0.003350165,0.137987959,0.010973004,0.989075549,0.997960769,0.017867547,0,0.437754904,0.113905613,0.248349194,0.388570596,0.020149544,0.024422218,0.01650806,0.021897456,0.088755098,0.00606914,0.023839581,0,0.388570596,0.551029326,0.005874927,0.260633133,0.000657409,0.000590406,9.90E-05,0.020392309,0.525975918,0.020440862,0.020392309,0.525975918,0.038114197,0.50825403,0.000433094,0.000922509,0.053554088,0.418333657,0.352107205,0.066177899,0.001990678,0.003447271,0.000249563,0.137745193,0.114925228,0.015148573,0.015634104,0.183919208,0.082977277,0.024956302,0.011604195,0.007768499,0.065255389,0.056127403,0.090308798,0.030297145,0.054573704,0.143814333,0.098320062,0,0.071907166,0.18178287,0.130316566,0.01495436,0.004952418,0.038696834,0.022382987,0.308360847,0.01869295,0.283695863,0.043357934,0.22601476,0.100650612,0.242425714,0.000664207,0.000261216,0.013682268,0.012983104,2.811876092,2.935346669,0.08457953,0.000105846,0.000409788,0.010992426,0.010506895,0.278869683,0.334220237,0.807049913,0.059283356,0.747718003,0.25872014,0.290570985,0.000971062,0.000127209,0.000843853,1.94E-06,0.299766945,0.476811031,0.266653719,0.72086813,0.814352301,0.64595067,0.709613517,0.141386677,0.052874345,0.085453486,0.344523208,0.524713537,0.327005244,0.003107399,0.006020587,0.010875898,0.022674306,0.029860167,0.027772383,0.054476597,0.038502622,0.023062731,0.327005244,0.06277918,0.327005244,0.663420082,0.764459118,0.588891047,0.664420276,1,0.237667508,0.110555448,0.000134978,0.000124296,1
0.591886042,0.041878492,0.081592591,0.17914129,0.205869029,0.083354306,0.009714602,0.001308703,0.003372427,0.05879096,0.000352343,0.599788594,0.353148437,0.047062969,0.876176574,0.123823426,0.003171088,0.055116525,0.141843258,0.088287109,0.034076609,0.063019077,0.013439372,0.327578396,0.194896059,0.00095636,0.076810792,0.337796346,0,0.00266774,0.045804601,0.001610711,0.998389289,0.999899331,0.003171088,0,0.704937837,0.143353299,0.214123924,0.377711783,0.018472844,0.038455731,0.018120501,0.022650627,0.075753763,0.003926109,0.016056778,0,0.377711783,0.506065334,0.012231338,0.240297982,0.000684552,0.000619117,9.66E-05,0.019630543,0.491619268,0.019580208,0.019630543,0.491619268,0.038355061,0.472844415,0.000454019,0.001560377,0.055770876,0.385513666,0.36447375,0.040217446,0.000201339,0.006291841,0.000304022,0.115367192,0.122917401,0.002416067,0.001157699,0.002214728,0.004026778,0.025972719,0.097095686,0.100669452,0.03206322,0.046509287,0.105249912,0.00458046,0.013187698,0.053606483,0.15976242,0,0.010872301,0.098756732,0.115820204,0.016560125,0.001761715,0.035989329,0.003976443,0.212211205,0.018925857,0.198570494,0.032566568,0.141641919,0.089344139,0.217446016,0.000876831,0.000389591,0.01964061,0.019731213,4.839834902,5.28591131,0.013640711,1.11E-05,0.000389591,0.010389087,0.012261539,0.254301102,0.343091559,0.751547793,0.066693512,0.684803946,0.239663764,0.297276891,0.001006695,0.000134897,0.000871797,8.05E-06,0.282830825,0.504122414,0.222680828,0.892605829,1.017748024,0.799808728,0.882840892,0.169980369,0.019831882,0.020888911,0.308078724,0.487038808,0.231137061,0.002063724,0.002919414,0.002718075,0.006191171,0.012936025,0.01736548,0.037298032,0.033371923,0.023757991,0.231137061,0.075401419,0.231137061,0.887713293,1.016560125,0.792379322,0.880777168,1,0.297075552,0.070770625,0.00010369,9.87E-05,1
0.474271823,0.035969928,0.073335434,0.138207356,0.173231891,0.053527214,0.009003737,0.000810336,0.003106289,0.052221672,0,0.482285148,0.314860667,0.202854184,0.613964795,0.386035205,0.011704858,0.144825102,0.366632152,0.102237429,0.040291721,0.036150002,0.012560212,0.505244677,0.108810156,0.00171071,0.060775222,0.202719128,0,0.001485617,0.106784315,0.006707784,0.993292216,0.99761401,0.011704858,0,0.504479359,0.095934813,0.243911223,0.401881781,0.023994958,0.031152928,0.018007473,0.021789042,0.084635124,0.004952055,0.020798631,0,0.401881781,0.565254581,0.009633998,0.234322244,0.000634763,0.00057714,8.19E-05,0.017287174,0.543015351,0.017242155,0.017242155,0.54306037,0.035834871,0.524467654,0.000403367,0.002701121,0.061675595,0.425426552,0.391032278,0.051321298,0.002250934,0.003241345,0.000271012,0.136136497,0.11790393,0.007878269,0.002295953,0.052311709,0.078287489,0.088281637,0.03691532,0.01809751,0.051321298,0.051816504,0.115472921,0.007608157,0.017377212,0.118894341,0.132354927,0,0.018052492,0.126187368,0.134110656,0.015981632,0.003151308,0.029082069,0.009679017,0.261918696,0.014315941,0.243866204,0.032413452,0.199072615,0.076441723,0.249268446,0.000660874,0.000244902,0.014460001,0.013748706,3.332228875,3.571323099,0.026966191,6.93E-05,0.000296223,0.00901274,0.009652006,0.267023815,0.335245127,0.794624769,0.062305857,0.732318912,0.246486292,0.286633953,0.000900374,0.000130554,0.000769819,5.40E-06,0.307162472,0.480466394,0.251969567,0.808301445,0.917273669,0.711466258,0.784900734,0.165263584,0.031873227,0.039706478,0.317633818,0.438526989,0.276234637,0.002836177,0.003871607,0.004816999,0.01161482,0.015576464,0.018052492,0.042137487,0.038040787,0.027281322,0.276234637,0.086390852,0.276234637,0.776527259,0.888965921,0.688371674,0.759888354,1,0.255165894,0.084229955,9.72E-05,9.00E-05,1
