Immigrants,Under 5 years,5 to 14 years,15 to 24 years,25 to 44 years,45 years and over,Americas,Asia,First generation,Not a visible minority,Other North American origins,Caribbean origins,African origins,Buddhist,Christian,Hindu,Other religions,No religious affiliation,Non-Aboriginal identity,Aboriginal ancestry,Aboriginal languages,Non-Aboriginal languages,High school diploma or equivalent,"Postsecondary certificate, diploma or degree",Humanities,"Personal, protective and transportation services",Other fields of study,"With postsecondary certificate, diploma or degree",English,Non-official language,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,All classes of worker,Industry - not applicable,All industries,Did not work in 2010,Worked in 2010,Average weeks worked in 2010,Worked at usual place,"Car, truck or van - as a driver",Bicycle,Between 5 and 6:59 a.m.,Anytime after 9:00 a.m.,Major repairs needed,1981 to 1990,2006 to 2011,7 rooms,2 bedrooms,4 or more bedrooms,Part of a condominium development,1 household maintainer,2 household maintainers,Under 25 years,75 years and over,Suitable,Not suitable,Spending less than 30% of household total income on shelter costs,Spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Average monthly shelter costs for rented dwellings ($),Average income ($),After-tax income in 2010 of population 15 years and over,Without after-tax income,Median after-tax income ($),Average after-tax income ($),Composition of total income in 2010 of population 15 years and over (%),Income taxes paid as a % of total income,After-tax income as a % of total income,Net capital gains or losses as a % of total income,Median family income ($),Median after-tax family income ($),Couple-with-children economic families,Income in 2010 of population aged 15 years and over not in economic families,Median total income ($),In bottom half of the Canadian distribution,Household total income in 2010 of private households,"$10,000 to $14,999","$100,000 and over",Average household total income ($),Median after-tax household income ($),Less than 18 years,Prevalence of low income in 2010 based on after-tax low-income measure (%),18 to 64 years (%),
0.341649881,0.034792163,0.067890496,0.087300861,0.126716719,0.024949643,0.008652261,0.014832448,0.348699872,0.542254166,0.213697125,0.150476103,0.043078191,0.007141549,0.666361472,0.059421351,0.002288958,0.186458524,0.990111701,0.017121406,0,0.253616554,0.231093206,0.445385461,0.022019777,0.023026918,0,0.445385461,0.586156382,0.002334737,0.00066746,0.000608863,7.97E-05,0.019456144,0.557956418,0.019456144,0.557956418,0.038134041,0.539232741,0.000413844,0.445202344,0.370307636,0.00164805,0.150384545,0.099523897,0.011399011,0.083913203,0.054889214,0.06111518,0.034425929,0.130379051,0.025727889,0.160227065,0.151529024,0.0021974,0.018403223,0.29912104,0.021653543,0.230864311,0.089635598,0.000694928,0.015107123,0.009613624,0.009714338,0.398654093,0.792391503,0.053607398,0.298425197,0.333052554,0.000915583,0.000151071,0.000764512,7.32E-06,0.884206189,0.759055118,0.159082586,0.065738876,0.352792529,0.371131661,0.320774583,0.005768174,0.099798572,0.918375755,0.692748581,0.257324666,8.51E-05,8.06E-05,1
0.050377036,0.005196122,0.011469489,0.011976427,0.018693365,0.003105,0.000697041,0.000506939,0.05455928,0.989290919,0.411190672,0.002027755,0.002534694,0.001774286,0.813002978,0,0.001457449,0.167416514,0.82535961,0.189785185,0.036562955,0.045054179,0.217983651,0.391990368,0.01286357,0.035358976,0,0.392053736,0.399404347,0.00380204,0.000688169,0.000610861,0.00014321,0.013117039,0.449527913,0.013117039,0.449527913,0.026804385,0.435903935,0.000543692,0.334959762,0.294341296,0.007097142,0.094290603,0.074393258,0.058424688,0.067866422,0.01191306,0.06457132,0.116849376,0.094734174,0.008554591,0.288574869,0.153158862,0.011089285,0.057220708,0.431404854,0.013940815,0.331601293,0.071034789,0.000570306,0.007933591,0.007616754,0.007844877,0.437107915,0.851466954,0.039097649,0.322996008,0.382219124,0.001267347,0.000159686,0.001107661,5.07E-06,0.81158355,0.73290666,0.107344275,0.147519169,0.308434193,0.561878208,0.445345669,0.018883467,0.051010709,0.797617388,0.596248653,0.157087637,0.000169824,0.000177429,2
0.459133009,0.045354722,0.087224291,0.083404946,0.198796906,0.04425666,0.004105796,0.038097966,0.469492982,0.570657882,0.134011267,0.01737802,0.025494128,0.021818008,0.551274706,0.023488972,0.008116108,0.245822591,0.998042586,0.00763869,0,0.550892772,0.177504058,0.506636112,0.031939272,0.017282536,0,0.50658837,0.564117254,0.0163277,0.000683663,0.000637831,6.40E-05,0.011505777,0.551322448,0.011458035,0.55137019,0.027690251,0.535090232,0.000425857,0.419984723,0.374773226,0.001384513,0.093573952,0.077007543,0.008975461,0.038432159,0.051943092,0.052706961,0.018667049,0.175069226,0.016805118,0.140169961,0.153633152,0.001718705,0.012221904,0.287692161,0.013415449,0.217177504,0.083309462,0.000679843,0.017425761,0.01090423,0.011782679,0.486450874,0.786068939,0.055285019,0.299799484,0.391645183,0.000954836,0.000186193,0.000768643,2.01E-05,1.029055667,0.878258379,0.183328559,0.041487635,0.346968395,0.343979757,0.30110761,0.004917407,0.122744199,1.180626373,0.831414112,0.26448964,9.26E-05,9.55E-05,1
0.132086732,0.019295803,0.030634573,0.032773026,0.043614482,0.005669385,0.00308335,0.003729859,0.137656654,0.929232146,0.33882037,0.019693654,0.009200318,0.003282276,0.680773821,0.001591406,0.002635767,0.294658842,0.980007957,0.040282475,0.000149194,0.122886413,0.244081957,0.393972548,0.013974537,0.031927591,0,0.393972548,0.584294808,0.001541675,0.000706187,0.000649493,7.96E-05,0.012134474,0.547145415,0.012184205,0.547145415,0.026606326,0.532673563,0.000449572,0.412771036,0.405410782,0.003033618,0.154465884,0.103192759,0.013974537,0.048836284,0.038889994,0.060324249,0.054257012,0.123135071,0.01919634,0.189277899,0.154068033,0.005768848,0.027650686,0.339218222,0.013129103,0.255520191,0.094887607,0.000742988,0.014601154,0.01144818,0.01117963,0.416988263,0.787994828,0.045703203,0.303312115,0.35088522,0.000994629,0.000158146,0.000836483,8.95E-06,0.851491944,0.734871693,0.148000796,0.088422518,0.330843445,0.425900139,0.352347324,0.006365626,0.079968172,0.878754724,0.669832902,0.260891188,9.65E-05,9.55E-05,0
0.105495075,0.017314671,0.021565578,0.027268015,0.033385174,0.005961638,0.002229134,0.006583722,0.110679108,0.949196475,0.353654743,0.012130638,0.004924832,0.003421462,0.674287195,0.002799378,0.002747538,0.305028512,0.971435977,0.05313634,0.000155521,0.086054951,0.244790047,0.437117678,0.019491965,0.035303266,0,0.437117678,0.596267496,0.000622084,0.000702955,0.000641783,9.02E-05,0.012908243,0.551892172,0.012856402,0.551892172,0.027941939,0.536858476,0.000466563,0.410316226,0.388854329,0.003525143,0.121721099,0.104561949,0.019803007,0.085277346,0.020580612,0.053240021,0.072213582,0.125712805,0.02649041,0.217366511,0.162830482,0.013478486,0.039191291,0.375220321,0.014930016,0.272576464,0.113426646,0.00066563,0.013364438,0.010202177,0.010285122,0.420580612,0.833229653,0.040331778,0.283017107,0.352773458,0.001036807,0.000166926,0.000869881,3.21E-05,0.808947641,0.714971488,0.126853292,0.141161223,0.288564023,0.482011405,0.390150337,0.01099015,0.077967859,0.854764126,0.604136858,0.20943494,0.000130638,0.000131674,0
0.074435774,0.010606981,0.015513294,0.01789636,0.027662259,0.002803607,0.00116817,0.002523247,0.080697164,0.968506145,0.409093033,0.005420307,0.004018504,0.002196159,0.687678146,0.002663427,0.006308116,0.295733844,0.963132564,0.056959955,0.000327088,0.056632868,0.255128265,0.401756927,0.020653241,0.03434419,0,0.401756927,0.529648147,0.000887809,0.000551376,0.000506518,7.66E-05,0.011401336,0.489463109,0.011401336,0.489416382,0.025325919,0.475538526,0.000416803,0.387271623,0.354375964,0.004439045,0.116630064,0.086491285,0.031073314,0.054156348,0.01672819,0.057847764,0.112237746,0.104995094,0.018363628,0.260688753,0.162609224,0.013877856,0.060744825,0.413485351,0.016074015,0.31834961,0.107471613,0.000531751,0.008728564,0.007373487,0.007392178,0.341432643,0.848278118,0.036400168,0.240138311,0.293247979,0.000934536,0.00013177,0.000802766,7.48E-06,0.628279052,0.566721181,0.112891921,0.152422784,0.246549227,0.546329611,0.42951264,0.015232933,0.051492921,0.645324985,0.468155694,0.188776225,0.000136442,0.000143919,1
0.326369895,0.034471376,0.05375837,0.07031029,0.139064416,0.028671131,0.007120626,0.041120438,0.349287937,0.683250024,0.194426106,0.040365934,0.040696029,0.014099783,0.523389607,0.024992927,0.006696218,0.326652834,0.981231727,0.026926342,0.000471565,0.348957842,0.191455249,0.507780817,0.049985853,0.018108083,0,0.507780817,0.57483731,0.006554749,0.000649816,0.000592285,8.30E-05,0.018626804,0.549938697,0.018579647,0.549938697,0.035555975,0.532915213,0.000426294,0.421107234,0.211968311,0.012920871,0.076912195,0.096906536,0.045883241,0.026737716,0.009289824,0.05389984,0.119211544,0.051542016,0.039045553,0.270819579,0.150051872,0.011364708,0.033905498,0.380175422,0.050646044,0.29802886,0.131283599,0.000611148,0.013939451,0.00824295,0.00838442,0.47206451,0.825615392,0.042535132,0.283099123,0.379854758,0.000943129,0.00018391,0.000759219,8.49E-06,0.797604452,0.693105725,0.124351599,0.186126568,0.293237763,0.465009903,0.430821466,0.016363293,0.095444685,0.858096765,0.526360464,0.20517778,0.000172593,0.000170706,1
0.462759759,0.040201981,0.08084094,0.11293455,0.183919208,0.044960186,0.01432317,0.056370169,0.471936298,0.4626141,0.166488639,0.102204312,0.04782482,0.012818023,0.583122936,0.095552534,0.003350165,0.137987959,0.989075549,0.017867547,0,0.437754904,0.248349194,0.388570596,0.024422218,0.023839581,0,0.388570596,0.551029326,0.005874927,0.000657409,0.000590406,9.90E-05,0.020392309,0.525975918,0.020392309,0.525975918,0.038114197,0.50825403,0.000433094,0.418333657,0.352107205,0.001990678,0.137745193,0.114925228,0.015148573,0.082977277,0.007768499,0.056127403,0.054573704,0.098320062,0.071907166,0.18178287,0.130316566,0.004952418,0.022382987,0.283695863,0.043357934,0.22601476,0.100650612,0.000664207,0.013682268,0.010992426,0.010506895,0.334220237,0.807049913,0.059283356,0.25872014,0.290570985,0.000971062,0.000127209,0.000843853,1.94E-06,0.72086813,0.64595067,0.141386677,0.085453486,0.344523208,0.524713537,0.327005244,0.006020587,0.06277918,0.764459118,0.588891047,0.237667508,0.000134978,0.000124296,1
0.591886042,0.041878492,0.081592591,0.17914129,0.205869029,0.083354306,0.009714602,0.05879096,0.599788594,0.123823426,0.055116525,0.088287109,0.063019077,0.013439372,0.327578396,0.194896059,0.00266774,0.045804601,0.998389289,0.003171088,0,0.704937837,0.214123924,0.377711783,0.038455731,0.016056778,0,0.377711783,0.506065334,0.012231338,0.000684552,0.000619117,9.66E-05,0.019630543,0.491619268,0.019630543,0.491619268,0.038355061,0.472844415,0.000454019,0.385513666,0.36447375,0.000201339,0.115367192,0.122917401,0.002416067,0.004026778,0.100669452,0.046509287,0.013187698,0.15976242,0.010872301,0.098756732,0.115820204,0.001761715,0.003976443,0.198570494,0.032566568,0.141641919,0.089344139,0.000876831,0.01964061,0.010389087,0.012261539,0.343091559,0.751547793,0.066693512,0.239663764,0.297276891,0.001006695,0.000134897,0.000871797,8.05E-06,0.892605829,0.799808728,0.169980369,0.020888911,0.308078724,0.487038808,0.231137061,0.002919414,0.075401419,1.016560125,0.792379322,0.297075552,0.00010369,9.87E-05,1
0.474271823,0.035969928,0.073335434,0.138207356,0.173231891,0.053527214,0.009003737,0.052221672,0.482285148,0.386035205,0.144825102,0.102237429,0.036150002,0.012560212,0.505244677,0.108810156,0.001485617,0.106784315,0.993292216,0.011704858,0,0.504479359,0.243911223,0.401881781,0.031152928,0.020798631,0,0.401881781,0.565254581,0.009633998,0.000634763,0.00057714,8.19E-05,0.017287174,0.543015351,0.017242155,0.54306037,0.035834871,0.524467654,0.000403367,0.425426552,0.391032278,0.002250934,0.136136497,0.11790393,0.007878269,0.078287489,0.01809751,0.051816504,0.017377212,0.132354927,0.018052492,0.126187368,0.134110656,0.003151308,0.009679017,0.243866204,0.032413452,0.199072615,0.076441723,0.000660874,0.014460001,0.00901274,0.009652006,0.335245127,0.794624769,0.062305857,0.246486292,0.286633953,0.000900374,0.000130554,0.000769819,5.40E-06,0.808301445,0.711466258,0.165263584,0.039706478,0.317633818,0.438526989,0.276234637,0.003871607,0.086390852,0.888965921,0.688371674,0.255165894,9.72E-05,9.00E-05,1
