Other North American origins,Caribbean origins,Buddhist,No religious affiliation,Non-Aboriginal languages,4 or more bedrooms,Average income ($),Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.213697125,0.150476103,0.007141549,0.186458524,0.253616554,0.130379051,0.398654093,0.918375755,8.51E-05,1
0.411190672,0.002027755,0.001774286,0.167416514,0.045054179,0.094734174,0.437107915,0.797617388,0.000169824,2
0.134011267,0.01737802,0.021818008,0.245822591,0.550892772,0.175069226,0.486450874,1.180626373,9.26E-05,1
0.33882037,0.019693654,0.003282276,0.294658842,0.122886413,0.123135071,0.416988263,0.878754724,9.65E-05,0
0.353654743,0.012130638,0.003421462,0.305028512,0.086054951,0.125712805,0.420580612,0.854764126,0.000130638,0
0.409093033,0.005420307,0.002196159,0.295733844,0.056632868,0.104995094,0.341432643,0.645324985,0.000136442,1
0.194426106,0.040365934,0.014099783,0.326652834,0.348957842,0.051542016,0.47206451,0.858096765,0.000172593,1
0.166488639,0.102204312,0.012818023,0.137987959,0.437754904,0.098320062,0.334220237,0.764459118,0.000134978,1
0.055116525,0.088287109,0.013439372,0.045804601,0.704937837,0.15976242,0.343091559,1.016560125,0.00010369,1
0.144825102,0.102237429,0.012560212,0.106784315,0.504479359,0.132354927,0.335245127,0.888965921,9.72E-05,1
0.139085337,0.090664781,0.010749646,0.115275813,0.513719943,0.100282885,0.323536068,0.738613861,0.000142386,1
0.107719488,0.177896648,0.014918781,0.078912499,0.49438092,0.128183737,0.361387839,0.925062571,0.000100113,1
0.303162905,0.013895286,0.005373868,0.302740673,0.105941962,0.092660832,0.284822662,0.552878858,0.000101336,0
0.341906276,0.002986081,0.00110774,0.295525695,0.070124741,0.108654819,0.345788181,0.663372345,0.000127149,0
0.266686281,0.013618023,0.004245124,0.261978816,0.168838265,0.095410222,0.424529254,0.833927371,6.81E-05,1
0.297326688,0.013547802,0.008065247,0.240643407,0.202945174,0.083597644,0.350512007,0.718504758,0.000115995,1
0.350029953,0.004009032,0.003087415,0.193493387,0.173586471,0.081885627,0.313432561,0.602128934,0.000152988,0
0.108682869,0.054537436,0.034055272,0.252058016,0.602753822,0.060172481,0.335721286,0.683055664,0.000174441,0
0.105520009,0.063171023,0.018544626,0.17563171,0.589469689,0.039746231,0.420344865,0.799598742,0.00022991,1
