4 or more bedrooms,Average income ($),Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.130379051,0.398654093,0.918375755,8.51E-05,1
0.094734174,0.437107915,0.797617388,0.000169824,2
0.175069226,0.486450874,1.180626373,9.26E-05,1
0.123135071,0.416988263,0.878754724,9.65E-05,0
0.125712805,0.420580612,0.854764126,0.000130638,0
0.104995094,0.341432643,0.645324985,0.000136442,1
0.051542016,0.47206451,0.858096765,0.000172593,1
0.098320062,0.334220237,0.764459118,0.000134978,1
0.15976242,0.343091559,1.016560125,0.00010369,1
0.132354927,0.335245127,0.888965921,9.72E-05,1
0.100282885,0.323536068,0.738613861,0.000142386,1
0.128183737,0.361387839,0.925062571,0.000100113,1
0.092660832,0.284822662,0.552878858,0.000101336,0
0.108654819,0.345788181,0.663372345,0.000127149,0
0.095410222,0.424529254,0.833927371,6.81E-05,1
0.083597644,0.350512007,0.718504758,0.000115995,1
0.081885627,0.313432561,0.602128934,0.000152988,0
0.060172481,0.335721286,0.683055664,0.000174441,0
0.039746231,0.420344865,0.799598742,0.00022991,1
0.095922673,0.377900986,0.810480349,0.000192336,1
0.09748825,0.884873907,1.701410017,0.000161722,1
0.130937378,0.412767807,0.921368041,7.30E-05,1
0.120185371,0.394604993,0.841315088,6.91E-05,0
0.082841569,0.600909951,1.157700797,0.000129736,0
0.102490643,0.350445913,0.700512915,0.000131232,1
0.107672114,0.368972817,0.75978491,7.45E-05,0
0.092048363,0.43478069,0.909125408,0.000111199,2
0.053451142,0.458402589,0.824039892,0.000120724,1
0.062365406,0.252554053,0.579817383,0.000177449,1
0.110305541,0.482889694,1.061574314,6.84E-05,1
0.095641705,0.402475319,0.804642427,0.000101132,0
0.08610535,0.350095396,0.688900871,0.000100373,1
0.103802623,0.348903727,0.700336222,0.00010797,1
0.110121119,0.345547357,0.68386468,0.000115087,0
0.050889025,0.31710607,0.52012058,0.000298385,0
0.066654202,0.32642797,0.644909788,0.000157988,2
0.085751915,0.34028584,0.697790352,0.000143408,1
0.119296421,0.450479928,0.938380065,0.00010497,2
0.108318073,0.380012208,0.752044837,0.000154264,1
0.125693161,0.400214029,0.780941726,0.00010896,1
0.130735324,0.533530355,1.150821479,5.41E-05,1
0.091250469,0.712166729,1.374633872,0.000197146,0
0.15125818,0.465655821,1.141967002,8.66E-05,1
0.097551291,0.36010589,0.661230973,0.000133245,1
0.069177708,0.367416009,0.666071163,0.000165749,1
0.109082042,0.486452802,1.087460713,8.02E-05,1
0.080371023,0.441755622,0.905865893,0.000117111,1
0.109915042,0.360417069,0.717754393,0.000126472,0
0.099927174,0.417166042,0.826862256,0.000118602,1
0.09932384,0.392572482,0.758313697,0.000129085,0
0.074837724,0.278825676,0.542938356,0.000150185,0
0.090909091,0.348750108,0.613701237,0.000169536,0
0.106465974,0.368251007,0.692948908,0.000116176,2
0.156128854,0.444886469,1.027958279,7.75E-05,1
0.153342775,0.349416418,0.993084925,0.000148459,1
0.167683073,0.448316927,1.141118848,0.000135414,1
0.136073951,0.578262617,1.25889648,7.81E-05,1
0.087193806,0.308854762,0.690612176,0.000132843,0
0.080335385,0.286373962,0.625104291,0.000137128,0
0.136289492,0.378751717,0.922330014,0.000100446,1
0.112971959,0.458987471,0.95932839,0.000114208,1
0.111419424,0.289366062,0.74141302,0.000128922,1
0.124847104,0.376160952,0.902332448,7.34E-05,1
0.122735835,0.48691494,1.052668695,6.18E-05,1
0.14730434,0.444237421,0.989660102,7.47E-05,1
0.086257521,0.340948255,0.654527076,0.000138628,1
0.086497049,0.285197001,0.559881959,0.000106078,1
0.103740296,0.511750176,1.084733004,8.23E-05,1
0.102928917,0.444295004,0.881431668,0.000111154,0
0.109643477,0.421525718,0.790104662,0.000158952,0
0.104070239,0.369260867,0.740048671,0.000106886,1
0.155533021,0.566459627,1.229416487,7.61E-05,1
0.142554038,0.519135393,1.126393493,6.45E-05,1
0.085009472,0.300141078,0.580249103,0.000118505,1
0.063872437,0.491480638,0.806068337,0.000145786,1
0.128072555,0.442702153,0.970444143,4.24E-05,1
0.091282861,0.374218198,0.725603223,0.000147016,0
0.066492464,0.418636555,0.72023704,0.000183846,1
0.092339355,0.399515207,0.738321518,0.000152756,1
0.097882485,0.357593605,0.702930865,0.000106577,1
0.058829268,0.489287805,0.842819512,0.000174634,1
0.102945333,0.401876873,0.779784047,0.000144723,0
0.098530557,0.363760218,0.729768392,0.000103153,1
0.104602139,0.326738561,0.62134647,0.000131363,0
0.140443993,0.445008538,1.021230443,7.66E-05,0
0.106194247,0.371985567,0.706394708,0.00011727,1
0.136271155,0.407435494,0.941931009,0.000134098,1
0.141312306,0.644212898,1.391450296,5.52E-05,0
0.077071912,0.325406551,0.606624591,0.000144654,1
0.059041136,0.694623656,1.147459801,0.000145013,1
0.101928506,0.4010145,0.749476001,0.000138776,0
0.081505871,0.466819904,0.868758154,0.000173945,1
0.088757683,0.281430576,0.663166046,0.000212941,1
0.056008574,0.285075253,0.599506081,0.000195704,1
0.073593074,0.315669005,0.665532169,0.000238842,1
0.105964562,0.282735213,0.742670327,0.00018268,1
0.132674043,0.360540488,0.893997846,0.000136101,1
0.059318388,0.337756321,0.664193872,0.000225611,1
0.116246437,0.358053059,0.722920412,8.51E-05,0
0.103116147,0.344315392,0.662124646,0.000131256,0
0.018885335,0.698462106,1.084325787,0.000211614,1
0.090273556,0.353232016,0.668905775,0.000158055,0
0.084374826,0.445581292,0.794267622,0.000187746,1
0.142284021,0.429423296,1.016649191,9.76E-05,0
